epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.681,1.05246,2.41559,1.33423,0.53412,0.65234,0.62826,0.37755,1.30872,2.39227,1.47997,0.000367298,0.000367298,0.000367298
2,234.354,1.06847,1.56777,1.33791,0.61894,0.59213,0.61656,0.38911,1.23984,1.87774,1.38434,0.000723026,0.000723026,0.000723026
3,353.401,1.06695,1.46259,1.324,0.67929,0.51393,0.623,0.34885,1.52855,1.89081,1.79827,0.00106409,0.00106409,0.00106409
4,485.013,1.07167,1.3889,1.31551,0.67539,0.43229,0.50679,0.3111,1.44835,2.60932,1.52852,0.00104501,0.00104501,0.00104501
5,606.324,1.04308,1.28458,1.2916,0.66491,0.55552,0.63921,0.42445,1.16902,1.78986,1.32925,0.00102301,0.00102301,0.00102301
6,726.91,1.00841,1.20107,1.26965,0.75279,0.68651,0.71694,0.42761,1.33068,1.60127,1.38471,0.00100101,0.00100101,0.00100101
7,848.684,0.96594,1.11873,1.24539,0.84242,0.82189,0.87104,0.57525,1.11621,1.00318,1.23804,0.000979013,0.000979013,0.000979013
8,969.024,0.93157,1.10813,1.2305,0.80243,0.67709,0.79605,0.55748,1.07785,1.1339,1.22172,0.000957015,0.000957015,0.000957015
9,1089.41,0.94713,1.05291,1.23116,0.79819,0.82102,0.8362,0.5596,1.12098,1.1883,1.23328,0.000935018,0.000935018,0.000935018
10,1210.94,0.92294,1.00504,1.21482,0.83584,0.78833,0.86041,0.58992,1.11493,0.97562,1.23677,0.00091302,0.00091302,0.00091302
11,1331.49,0.90847,0.94929,1.20061,0.81348,0.76597,0.84493,0.6023,1.06203,0.94645,1.18643,0.000891022,0.000891022,0.000891022
12,1452.14,0.87525,0.93474,1.18804,0.84769,0.80498,0.84399,0.60155,1.06081,0.96083,1.18217,0.000869024,0.000869024,0.000869024
13,1571.92,0.86854,0.91597,1.1822,0.82091,0.76949,0.82544,0.58164,1.08654,0.97245,1.20522,0.000847026,0.000847026,0.000847026
14,1690.41,0.84697,0.87829,1.16993,0.83904,0.84762,0.88046,0.61634,1.03612,0.85536,1.16435,0.000825029,0.000825029,0.000825029
15,1828.22,0.83581,0.87077,1.16486,0.73332,0.7621,0.80069,0.56732,1.07487,1.00928,1.21851,0.000803031,0.000803031,0.000803031
16,1997.22,0.81546,0.84992,1.15718,0.8312,0.79598,0.84941,0.60601,0.98972,0.86764,1.1623,0.000781033,0.000781033,0.000781033
17,2169.13,0.82505,0.82841,1.16315,0.91923,0.76257,0.88503,0.63481,1.01223,0.82928,1.15605,0.000759035,0.000759035,0.000759035
18,2345.4,0.80496,0.80447,1.15033,0.82202,0.81169,0.85015,0.61823,0.98757,0.81016,1.16478,0.000737037,0.000737037,0.000737037
19,2516.03,0.77705,0.78654,1.1383,0.86947,0.78125,0.88865,0.63505,0.96621,0.78912,1.15024,0.00071504,0.00071504,0.00071504
20,2683.4,0.79752,0.78634,1.14551,0.89965,0.81539,0.91649,0.66914,0.97056,0.76155,1.15427,0.000693042,0.000693042,0.000693042
21,2855.01,0.77966,0.75623,1.13409,0.86148,0.86913,0.90066,0.64015,0.97159,0.68833,1.14262,0.000671044,0.000671044,0.000671044
22,2953.82,0.76251,0.75129,1.13065,0.90105,0.85514,0.90896,0.65896,0.92913,0.70594,1.10516,0.000649046,0.000649046,0.000649046
23,3049.19,0.75475,0.7205,1.12028,0.89847,0.84963,0.90597,0.67847,0.92129,0.7148,1.12029,0.000627048,0.000627048,0.000627048
24,3144.9,0.74137,0.72427,1.11695,0.86667,0.82949,0.90488,0.66115,0.92128,0.69781,1.10267,0.000605051,0.000605051,0.000605051
25,3240.21,0.72656,0.67871,1.11073,0.89997,0.87535,0.91701,0.67307,0.93073,0.65602,1.11541,0.000583053,0.000583053,0.000583053
26,3335.57,0.74626,0.68088,1.11631,0.88193,0.84976,0.89595,0.65182,0.95177,0.71494,1.12722,0.000561055,0.000561055,0.000561055
27,3431.02,0.73261,0.67481,1.1061,0.83128,0.91833,0.9217,0.70242,0.86801,0.60778,1.06379,0.000539057,0.000539057,0.000539057
28,3526.45,0.71183,0.66529,1.1027,0.87824,0.86153,0.90899,0.6858,0.85852,0.66843,1.07126,0.000517059,0.000517059,0.000517059
29,3622.96,0.69814,0.65058,1.09741,0.91585,0.88365,0.9303,0.69375,0.90058,0.59685,1.11009,0.000495062,0.000495062,0.000495062
30,3718.21,0.68766,0.63209,1.09158,0.90321,0.84588,0.88349,0.65789,0.90516,0.69414,1.08652,0.000473064,0.000473064,0.000473064
31,3813.45,0.67648,0.63486,1.08676,0.90478,0.88957,0.92728,0.6979,0.84994,0.57642,1.06081,0.000451066,0.000451066,0.000451066
32,3909,0.6828,0.61789,1.08342,0.87414,0.86408,0.90407,0.6837,0.86008,0.60187,1.06793,0.000429068,0.000429068,0.000429068
33,4004.72,0.65855,0.60591,1.07695,0.90861,0.86611,0.92378,0.70083,0.87033,0.60192,1.0717,0.00040707,0.00040707,0.00040707
34,4100.4,0.6718,0.60747,1.07895,0.93545,0.8615,0.91614,0.71418,0.81792,0.57732,1.0501,0.000385073,0.000385073,0.000385073
35,4196.18,0.64405,0.59044,1.07279,0.93456,0.8398,0.9112,0.70781,0.83241,0.56955,1.05932,0.000363075,0.000363075,0.000363075
36,4291.87,0.65006,0.57286,1.07115,0.91263,0.84263,0.89482,0.67723,0.9044,0.61575,1.12091,0.000341077,0.000341077,0.000341077
37,4387.41,0.6305,0.56202,1.06329,0.9036,0.8684,0.91517,0.69716,0.8599,0.55499,1.08586,0.000319079,0.000319079,0.000319079
38,4482.92,0.63092,0.56398,1.06008,0.8439,0.87707,0.90685,0.70082,0.83712,0.58256,1.0755,0.000297081,0.000297081,0.000297081
39,4578.74,0.62421,0.54766,1.05919,0.91066,0.87157,0.9151,0.71734,0.8121,0.55046,1.04437,0.000275084,0.000275084,0.000275084
40,4674.36,0.62981,0.541,1.0633,0.88749,0.85248,0.90585,0.70155,0.852,0.61355,1.07748,0.000253086,0.000253086,0.000253086
41,4768.91,0.51875,0.40718,1.01281,0.93169,0.897,0.93856,0.71653,0.8475,0.5502,1.07649,0.000231088,0.000231088,0.000231088
42,4863.23,0.4931,0.34693,0.99672,0.90124,0.85049,0.91288,0.69935,0.83348,0.58613,1.07426,0.00020909,0.00020909,0.00020909
43,4957.53,0.48428,0.3334,0.98332,0.88786,0.88863,0.92133,0.70532,0.84039,0.58354,1.08171,0.000187092,0.000187092,0.000187092
44,5052.01,0.45869,0.33274,0.98353,0.91333,0.85526,0.91051,0.69475,0.8409,0.55813,1.1015,0.000165095,0.000165095,0.000165095
45,5146.47,0.4554,0.30928,0.98631,0.94469,0.88267,0.93089,0.71615,0.82,0.52886,1.07412,0.000143097,0.000143097,0.000143097
46,5240.89,0.44533,0.31283,0.97507,0.88737,0.87985,0.90556,0.70304,0.80321,0.56676,1.07167,0.000121099,0.000121099,0.000121099
47,5335.3,0.44247,0.30135,0.96459,0.9421,0.86777,0.9275,0.72692,0.81072,0.52697,1.07466,9.91012e-05,9.91012e-05,9.91012e-05
48,5429.9,0.42658,0.2836,0.96049,0.90557,0.88419,0.92342,0.72326,0.79562,0.53141,1.05326,7.71034e-05,7.71034e-05,7.71034e-05
49,5524.39,0.41567,0.28201,0.95537,0.8943,0.88939,0.92138,0.71984,0.81275,0.53415,1.07812,5.51056e-05,5.51056e-05,5.51056e-05
50,5618.52,0.40482,0.27002,0.95364,0.93977,0.87499,0.93016,0.72319,0.80675,0.52889,1.07163,3.31078e-05,3.31078e-05,3.31078e-05
